Index,All Links,Lon-Link,Lat-Link,Both Links,Measurement of What,,Date,Lon-Deg,Lon-Min,Lon-Sec,Lon-E/W,Lat-Deg,Lat-Min,Lat-Sec,Lat-N/S,,longitude,latitude,title,,
30,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/10,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/10,Ship,,October 2,14,32,,W,39,38,,N,,-14.53333333,39.63333333,10/02/63 Ship,,
31,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/10,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/10,,Ship,,October 3,,,,,37,55,,N,,,37.91666667,10/03/63 Ship,,
32,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/10,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/11,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/10,,Ship,,October 4,14,35,,W,35,57,,N,,-14.58333333,35.95,10/04/63 Ship,,
33,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/11,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/11,,,Ship,,October 4,14,32,,W,,,,,,-14.53333333,,10/04/63 Ship,,
34,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,Ship,,October 5,,,,,34,26,,N,,,34.43333333,10/05/63 Ship,,
35,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,Ship,,October 5,,,,,34,2,,N,,,34.03333333,10/05/63 Ship,,
36,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,Ship,,October 5,,,,,33,47,,N,,,33.78333333,10/05/63 Ship,,
37,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,Ship,,October 5,,,,,33,40,,N,,,33.66666667,10/05/63 Ship,,
38,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,Ship,,October 6,,,,,32,40,,N,,,32.66666667,10/06/63 Ship,,
39,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,Ship,,October 7,,,,,31,9,38,,,,31.16055556,10/07/63 Ship,,
40,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,Ship,,October 8,,,,,30,13,,,,,30.21666667,10/08/63 Ship,,
41,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,,,Ship,,October 9,,,,,,,,,,,,10/09/63 Ship,,
42,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,Ship,,October 10,,,,,29,44,,N,,,29.73333333,10/10/63 Ship,,
43,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,Ship,,October 11,,,,,29,55,,N,,,29.91666667,10/11/63 Ship,,
44,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/12,,Ship,,October 12,,,,,28,58,,N,,,28.96666667,10/12/63 Ship,,
